"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","negLogPadj"
"RSAD2",2517.09176563061,5.2006931326505,0.805597122523156,6.45569973780661,1.07720000578535e-10,5.03052402701761e-07,6.29838677236194
"CX3CL1",467.224235906573,3.8673047437303,0.607724580484912,6.36358124702562,1.9710305428494e-10,7.36377010808535e-07,6.13289977833592
"ISG15",4276.84754892363,5.33131928387877,0.856494345244635,6.2245819992612,4.8284156611726e-10,1.2884972078672e-06,5.8899165182145
"NOXRED1",17.8016904899583,2.92623143444245,0.485697693990854,6.02479993346962,1.69318936615771e-09,3.51430859553624e-06,5.45416010526131
"IRF7",7870.40205452475,4.81854007482234,0.810218851042754,5.94720805202307,2.72754643690856e-09,5.09505674414519e-06,5.29285097485051
"USP18",1725.25088754128,3.69899437088472,0.694122780748182,5.32902027347041,9.87439751807774e-08,0.000131752675455494,3.88024055695974
"IFIT3",6204.18983837182,3.26577448649669,0.621665970221063,5.25326243180946,1.49428382027325e-07,0.000186088145084695,3.73028129311476
"CD163",903.901932858725,4.09508228913017,0.799463995772691,5.12228481930851,3.01855475917942e-07,0.000313258905008175,3.50409657447286
"C16H1orf131",571.171799389263,1.0941834890906,0.216780265149851,5.0474312702507,4.47789778127096e-07,0.000404050969620142,3.39356384669995
"XAF1",1066.3296771746,2.94008429049128,0.591002106621875,4.97474418034919,6.53338623739967e-07,0.000508515228810941,3.29369603646882
"IL18BP",1080.73378946715,2.24030987812957,0.472155105204094,4.74486001196825,2.08650580145609e-06,0.00134399753004137,2.87160152941492
"OAS2",3510.63517999962,2.85514862554147,0.604406751248528,4.72388605792965,2.31380087226538e-06,0.00144072667646391,2.84141840236608
"SAA3",3075.44293533553,3.24281359647569,0.697356653855126,4.65015079235104,3.3169242322843e-06,0.00199871434384099,2.69924927079354
"ETV7",308.417717780456,3.19457074752715,0.689312643972394,4.63442934851357,3.57923447020282e-06,0.00208937812198089,2.67998295713338
"MX1",14197.0032567074,2.58400992914337,0.559165865896687,4.62118681904806,3.81550988350678e-06,0.00215980983708808,2.66558448511709
"OAS1",1478.60958786173,3.42854809044407,0.7449458691973,4.60241237949064,4.17625275465769e-06,0.00229448239579429,2.63931527004112
"CASP4",1274.98517858728,2.32174345999157,0.507398644039936,4.57577781742916,4.74453876658917e-06,0.00242689168558238,2.61494960619942
"CLEC4E",216.668841292914,2.99101983880026,0.66981943277733,4.46541215801747,7.99147563056513e-06,0.00360722597017285,2.44282665099319
"RTP4",2966.93090091719,2.09608518543655,0.473325325435114,4.42842390381221,9.4924197539669e-06,0.00412368374428144,2.38471464925178
"IFIT5",2898.52809899474,2.15625328540954,0.489881542156741,4.40158099428785,1.0746493720867e-05,0.00456237506149535,2.34080901532365
"OASL",1209.38168411284,2.21763731055716,0.506850563072704,4.37532770431007,1.21250182280856e-05,0.00492381175001391,2.30769855961827
"SAMD9L",5614.01202742183,2.29539876660412,0.529691606545737,4.33346260019682,1.46782225963074e-05,0.00567059009308297,2.24637174519262
"IFI44",1721.70675054481,2.12168210652116,0.489623236249926,4.33329537783244,1.46893810977191e-05,0.00567059009308297,2.24637174519262
"RPL34",5141.97170733529,1.73668165289402,0.408272562720201,4.25373099118641,2.1023784973204e-05,0.00740989251508396,2.1301880916758
"CCL5",766.616451285608,2.89696189866509,0.682924692701546,4.24199319430837,2.21543411769263e-05,0.00766376098490711,2.11555804836513
"CCR5",143.518829284083,2.33057526500891,0.551816291277869,4.22346223162763,2.40577701702033e-05,0.00806760683133946,2.09325527495362
"CBLC",75.0867814791853,4.05941085689093,0.963932709635615,4.21130107559631,2.53904079869492e-05,0.00817746243441742,2.08738144225803
"CCR1",168.371733968522,2.85368421941771,0.680231654226963,4.19516528183436,2.72672679969701e-05,0.00848093989515794,2.07155601464646
"HSPA6",49.4919625297851,1.89213321273481,0.451109585882223,4.19439815058334,2.73597048202191e-05,0.00848093989515794,2.07155601464646
"ANO3",78.9536844859225,-3.47722862612471,0.833964586569909,-4.16951592684113,3.05247285116142e-05,0.00908744162073053,2.04155836610551
"KCNN2",167.980516409627,-2.97190666726578,0.712927558265633,-4.16859557862465,3.06482238814788e-05,0.00908744162073053,2.04155836610551
"SERPINE1",1241.44412370966,2.79521077546431,0.686216001583468,4.07336869005424,4.63379817005679e-05,0.0131150530025244,1.88222994993391
"UBE2L6",2393.20765962444,1.9521314416393,0.479139016094781,4.07424855013924,4.61631595817046e-05,0.0131150530025244,1.88222994993391
"NEURL3",222.378611512351,2.67514403266658,0.660860482499948,4.04797094622281,5.16635574815186e-05,0.0144041082649965,1.84151362301903
"CPB1",4000.12422199985,4.25128829019147,1.05217806216079,4.04046467330907,5.33454004365005e-05,0.0146542952963799,1.83403506130963
"LGALS9",5547.60466694835,2.70376062762973,0.670189120454932,4.03432485713046,5.4759516318395e-05,0.014824750214893,1.82901261541446
"CXCL11",932.489321117098,3.17663439143903,0.794589985320912,3.99782837705421,6.39262726549159e-05,0.0161699746823204,1.79129066007734
"ATP1A4",37.9192043483988,2.87731685593889,0.718691647034769,4.00354848676805,6.23994049200465e-05,0.0161699746823204,1.79129066007734
"CLEC5A",121.094432041814,2.22282122225806,0.555275023595625,4.00309959534,6.25179677954294e-05,0.0161699746823204,1.79129066007734
"UBA7",2571.8091844983,2.00256214819565,0.501371745189815,3.99416633946434,6.49222752234492e-05,0.0161699746823204,1.79129066007734
"NUAK2",338.871570096618,1.97711878420026,0.497112143497322,3.9772087849045,6.97289379893432e-05,0.0171386389689596,1.76602366967886
"ACOD1",822.922287416369,3.1680557732766,0.800330622570818,3.95843378215391,7.54428501744184e-05,0.0176159055157267,1.75409502773816
"DHX58",1620.4848096653,1.81354015549161,0.458116537224459,3.9586873822087,7.53628025740076e-05,0.0176159055157267,1.75409502773816
"SPHK1",129.027723852258,3.48360491167618,0.894116720387056,3.89614111026595,9.77374583191268e-05,0.0212294851325731,1.67306053841968
"PDCD1LG2",46.5491920472103,2.76404417397945,0.712850532415828,3.87745263317991,0.000105555869678166,0.0226641798343464,1.64465999246069
"CHIT1",383.151304792902,2.8937435243626,0.749071485733919,3.86310729946875,0.000111953802806969,0.0234977195104965,1.62897428462469
"VSIG4",2861.66562713402,2.87447090167095,0.743979707596629,3.86364153796172,0.000111709116870156,0.0234977195104965,1.62897428462469
"ISX",27.1059471994595,4.68580090474043,1.21860314668651,3.84522304696285,0.000120442831110143,0.0249985787237496,1.60208468212713
"BATF2",485.968579685141,2.61471693442377,0.685313467677623,3.81535904041762,0.000135985065259739,0.0276108806418688,1.5589197414301
"MB21D1",143.018167337668,2.30705424696905,0.604292962029404,3.81777447683859,0.000134660934390989,0.0276108806418688,1.5589197414301
"HERC5",1055.73855840639,1.87347270292988,0.493725253471724,3.79456527644918,0.000147902367824266,0.0290822761153399,1.5363716065596
"EFHB",17.613666794796,3.26314931260955,0.867165653527521,3.76300571792191,0.000167883361761376,0.0323305278113661,1.49038720526495
"PLA2G1B",119.241644137483,3.70822527722405,0.986627529416391,3.75848551420163,0.0001709449333801,0.032584197505513,1.48699297048606
"MIOX",65.8022597566003,-3.69243938607904,0.987186930328139,-3.74036494268788,0.000183753262103101,0.03398525679293,1.468709444196
"IFI44L",1963.05320019734,1.80027985603358,0.481150034594264,3.74161846948985,0.000182838950346461,0.03398525679293,1.468709444196
"FBXO39",6.46132928579662,2.65146942765699,0.718330429126215,3.69115565782486,0.000223237463884926,0.0404861730618487,1.39269327279123
"IFI35",1273.18049403009,1.58818664936636,0.430236018344287,3.69143117184449,0.000222995744147714,0.0404861730618487,1.39269327279123
"SLC51B",1642.95720979113,4.07351866780527,1.11430494905644,3.65565877747794,0.000256522377999365,0.0451489541718168,1.34535230521026
"CHI3L1",461.254857004745,2.48848901664517,0.681556426027539,3.65118561224543,0.000261032497353116,0.0451489541718168,1.34535230521026
"GPNMB",3961.26107245804,2.16110753697264,0.591253164139631,3.65513060740639,0.000257051081205981,0.0451489541718168,1.34535230521026
"PARP3",541.688451398275,1.63637303777778,0.447914947952635,3.65331196303549,0.000258879388203128,0.0451489541718168,1.34535230521026
"TMPRSS15",139.646599332343,5.61443219224146,1.53999486000264,3.64574735803459,0.000266615816020334,0.0456915912225673,1.34016371725296
"HPN",1229.4779571773,3.77931849813885,1.05924906752098,3.56792242166785,0.000359822997325564,0.0587505624104364,1.23098797159955
"SLC11A1",91.939084303046,2.64812254383881,0.742484818331577,3.56656793305129,0.000361687081220566,0.0587505624104364,1.23098797159955
"IFIT2",1666.62400461711,2.36834899403268,0.663755210963327,3.5681060651794,0.00035957095486608,0.0587505624104364,1.23098797159955
"NMI",2059.0946151914,0.824962086036888,0.234012270119968,3.52529414638798,0.000423012801838079,0.065848992819461,1.18145086331868
