"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CD163",903.901932858725,5.20723162361793,0.734070310335511,7.09364150858783,1.30628250886251e-12,7.93871423386045e-09
"NOXRED1",17.8016904899583,2.99837253450661,0.476516158337238,6.29227882842246,3.12838887781876e-10,8.14811228862738e-07
"ISG15",4276.84754892363,4.98754024666385,0.805076916937528,6.19511023323858,5.82442525525862e-10,1.32738651567344e-06
"RSAD2",2517.09176563061,4.61575826480104,0.772520809463125,5.97493065333584,2.30188078846273e-09,4.19678905352525e-06
"CCL5",1320.25296677619,3.66790632889875,0.642564725489358,5.70822857744858,1.1415804403568e-08,1.89211768987138e-05
"S100A9",2344.57916872081,3.53770217448147,0.630395801352317,5.61187458243287,2.00146481747613e-08,2.80697742709422e-05
"VSIG4",2861.66562713402,3.04519110421196,0.546494767430864,5.57222371684867,2.51508157125492e-08,3.27535480050855e-05
"CX3CL1",467.224235906573,3.33294140428517,0.600316610727672,5.55197265030724,2.82463795171987e-08,3.43325327571711e-05
"LGALS9",5547.60466694835,2.88420423071081,0.534508245318862,5.39599576988795,6.81445518811616e-08,5.97277691413904e-05
"IRF7",7870.40205452475,4.2531142907185,0.786922068153229,5.40474649630786,6.49001156737075e-08,5.97277691413904e-05
"CASP4",1274.98517858728,2.48347646463141,0.464809133868452,5.34300271589386,9.14193931845097e-08,6.94482656891659e-05
"S100A12",1234.43113021625,3.27556037652096,0.612486522326729,5.34797135466374,8.89455381908274e-08,6.94482656891659e-05
"SLC11A1",417.655859477703,3.58705713264867,0.675161895635366,5.31288444421622,1.07903467022652e-07,7.86918404302797e-05
"FCGR2A",637.105717104648,2.77608913392595,0.537319858079726,5.16654855051727,2.3845628303883e-07,0.000144917831745465
"OAS1",1478.60958786173,3.06606072356487,0.600029566384282,5.10984940632283,3.22415700021051e-07,0.000178129789175267
"FCER1G",3196.69504752602,1.6337071047396,0.332721998162164,4.91012651331625,9.10176529576198e-07,0.00040473996310325
"C16H1orf131",571.171799389263,1.09224601612642,0.222389504449656,4.91140991041544,9.04238311373632e-07,0.00040473996310325
"USP18",1725.25088754128,2.97623118652466,0.605901316221402,4.91207248910666,9.01187209264429e-07,0.00040473996310325
"THEM5",35.8340072418954,2.97428134022438,0.618445284232585,4.80928776733272,1.51469019125601e-06,0.000627632535613172
"IFIT3",6204.18983837182,2.8386746763798,0.591515521893286,4.79898594595446,1.59470982951428e-06,0.000646105546926764
"IL1R2",4234.49033105632,2.57374619247371,0.537517429128894,4.78820974539328,1.68275724184056e-06,0.00066695717463559
"HSPA6",49.4919625297851,1.70016690264134,0.356866519543353,4.76415356872614,1.8964803420367e-06,0.000735672970127938
"CXCL11",932.489321117098,3.69839544243256,0.777348124418617,4.75770806702417,1.95803392484816e-06,0.000743726552454827
"XAF1",1066.3296771746,2.77584186980404,0.584647664810072,4.74788840678222,2.05551389529113e-06,0.000749522586778957
"CLEC4F",168.690195382548,2.91452527481378,0.625436242379662,4.65998782501727,3.1622808794983e-06,0.000994046637845051
"NEURL3",222.378611512351,2.9607255035709,0.637579896843764,4.64369331314787,3.4223547071099e-06,0.00103993951700046
"PANX1",583.597064995371,1.7710381263294,0.382558137974625,4.6294613825386,3.66618086712368e-06,0.00107809370273224
"SERPINE1",1241.44412370966,2.60518321454532,0.565373925635151,4.60789416777333,4.06767597748853e-06,0.00114095182187032
"IFI44",1721.70675054481,2.2295386184078,0.486454806498501,4.58323895380129,4.57828343738354e-06,0.00126471611561177
"IFIT2",1666.62400461711,2.43099697765915,0.53292450072952,4.56161609070583,5.07613974075494e-06,0.001361002643433
"GPX3",11043.1195217054,2.27082348257134,0.499227279803254,4.54867667381132,5.39843108088415e-06,0.00142643761545913
"GPNMB",3961.26107245804,2.38058624561485,0.523756687311741,4.54521403408434,5.4879459040487e-06,0.00142937471032308
"IFI44L",1963.05320019734,2.0130907162093,0.446954997593773,4.50401209751982,6.66824079731605e-06,0.00166541597557077
"S100A8",2103.93996266552,3.08677927717407,0.686140257592481,4.498758443361,6.83514675831265e-06,0.0016840323742913
"MB21D1",143.018167337668,2.3819732872642,0.530419367767678,4.49073588185321,7.09775213440054e-06,0.00172541622552521
"SAMD9",2979.07509763441,1.82057250738137,0.408834549383434,4.45307890472316,8.46476296259827e-06,0.00203065208334331
"C3AR1",285.242641696386,2.19976225278564,0.494854599306719,4.44526989517216,8.77815931082584e-06,0.0020784857214932
"IL18BP",1080.73378946715,1.99584964260369,0.452308111016421,4.41258866244657,1.021419437825e-05,0.00232781489880318
"MX1",14197.0032567074,2.39852218741333,0.547411082351395,4.38157403958743,1.17824990459217e-05,0.00261973808055177
"IFIT5",2898.52809899474,1.96509964082633,0.453008671179008,4.33788526765266,1.43860214299712e-05,0.00312245169894327
"CXCL10",5825.44364812932,2.73300774658372,0.632034661087984,4.32414219479534,1.53126509973974e-05,0.00328188548654511
