"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","negLogPadj"
"LOC103350310",553.327896128753,-8.68065549116002,1.22075445846136,-7.11089394840393,1.15293709452153e-12,2.11183487603509e-08,7.67534004221318
"LOC100345044",907.12696124264,-5.72013228401755,0.827686063813767,-6.91099262643209,4.81274074870758e-12,3.17942438195202e-08,7.49765149962879
"CX3CL1",467.224235906573,-3.73874436399311,0.541862187099556,-6.8998067276213,5.20733370413062e-12,3.17942438195202e-08,7.49765149962879
"CPB1",4000.12422199985,-6.41972342860028,0.939056350544874,-6.83635590651757,8.12329843960903e-12,3.71986143795796e-08,7.42947323695977
"ZNF157",239.850402740551,4.99387500479033,0.762084981281371,6.55291093178824,5.64261749637845e-11,2.06711649362328e-07,6.68463504775
"LOC100339606",400.223655141172,-8.38093325199401,1.42402573055617,-5.88538049008478,3.97139272721753e-09,1.21240000974073e-05,4.91635406881518
"LOC103350299",193.778353411398,-7.42598775099387,1.29279209857285,-5.74414691982698,9.23855491472737e-09,1.76903492202694e-05,4.75226359371894
"LGALS4",898.060757577753,-4.85475617830939,0.837956214589449,-5.79356784254885,6.89066313975908e-09,1.76903492202694e-05,4.75226359371894
"LOC100344955",216.441085692269,-4.57499811080731,0.795965058124728,-5.74773737126839,9.04455765079926e-09,1.76903492202694e-05,4.75226359371894
"PTPRU",182.78932055637,-4.44458727338718,0.776963417221951,-5.72045887215501,1.06236742601388e-08,1.76903492202694e-05,4.75226359371894
"LOC100355766",2181.22827854532,-4.13729081452032,0.721975244213037,-5.73051617445695,1.00125479273413e-08,1.76903492202694e-05,4.75226359371894
"SLC51B",1642.95720979113,-5.63600004598688,0.994541469095567,-5.66693317586068,1.453760053474e-08,2.21904357495695e-05,4.65383416952214
"LOC100342699",1773.73278233046,-6.4761273496333,1.19899219781327,-5.40130900054606,6.61563541137805e-08,9.32143029463168e-05,4.03051744371823
"LPH",123.828513094642,-5.21808182713179,0.974199345339986,-5.35627728769489,8.49541009435273e-08,0.000111150304784471,3.95408934208751
"LOC100342719",324.041485013744,-5.97626656707715,1.11923825208502,-5.33958391427744,9.3160142320605e-08,0.000113760955125768,3.94400677030533
"LOC100349163",530.817017736537,-7.40728606390213,1.39262826411955,-5.31892555590574,1.04381830790988e-07,0.000115235262450256,3.93841460473044
"PLA2G1B",119.241644137483,-4.69225003986265,0.88339490768418,-5.31161092173758,1.08660400420202e-07,0.000115235262450256,3.93841460473044
"LOC100358934",1513.6201527668,-4.16243799747776,0.784761140509177,-5.30408271079407,1.13240963263887e-07,0.000115235262450256,3.93841460473044
"LOC100341595",1125.40349455562,-3.42739811942705,0.65394268344146,-5.2411292399357,1.59596882041379e-07,0.000153859794123787,3.81287485301723
"LOC108175948",412.417541158508,-6.09357802951712,1.16924722069565,-5.21153946031336,1.87279995954402e-07,0.000171520384294839,3.76568425894079
"SAA3",3075.44293533553,-3.23215250904539,0.622048006426688,-5.19598564042069,2.03637978182599e-07,0.000177620802208127,3.75050617281895
"SLC34A2",647.511377428628,-6.18263041230862,1.21611193990543,-5.08393200447437,3.69700333713101e-07,0.000307809136937403,3.51171849281318
"GPNMB",3961.26107245804,-2.66949620660143,0.527439229369946,-5.06123939584526,4.16539802357007e-07,0.000331728676511883,3.47921698397477
"LOC103347553",92.243607314953,-4.17102669739221,0.837116930776691,-4.98260941099622,6.27324982546475e-07,0.000478779654387658,3.31986431310044
"LOC100338913",657.60372982722,-2.68379856637416,0.549777070532615,-4.88161240295842,1.05221918270642e-06,0.000770939950785342,3.11297944822427
"LOC100339353",165.504927581702,-5.87932554324388,1.20926106303079,-4.86191586166551,1.16255039168978e-06,0.000819016750945452,3.08670721573802
"LOC100340733",258.027061205507,5.35083272719232,1.12625048014174,4.75101482444556,2.02398291723284e-06,0.00132404625339121,2.87809684326361
"PRSS2",3140.64401936384,-4.72705666106364,0.993547038177894,-4.75775829369164,1.95754693035764e-06,0.00132404625339121,2.87809684326361
"LOC108176165",203.086823154811,-5.60703747237281,1.18226239786532,-4.74263368478674,2.10957526432633e-06,0.00133245138333329,2.87534862795637
"PNLIPRP1",88.9749405191707,-7.37933033240384,1.5657747030814,-4.7128940823233,2.44223155660753e-06,0.00139794860694938,2.85450879434753
"SPHK1",129.027723852258,-3.77010068576778,0.798115943913228,-4.72375062109731,2.31534311771695e-06,0.00139794860694938,2.85450879434753
"FAT3",94.7834238162484,2.60536596640099,0.552468137681934,4.71586647029579,2.40684252307094e-06,0.00139794860694938,2.85450879434753
"CCR1",168.371733968522,-2.84649812398769,0.60666832926491,-4.69201701601391,2.70524620982542e-06,0.00150157560076885,2.82345279721778
"KCNJ16",773.973302913141,-6.67931982599098,1.43115875791783,-4.66707120299402,3.05523476408267e-06,0.0016445240327542,2.78395977543991
"LOC103352041",469.716308951628,3.75065576192428,0.805641634273252,4.65548899456723,3.23212672267025e-06,0.0016445240327542,2.78395977543991
"CCL7",97.7524690092003,-2.18097130295537,0.468254236477192,-4.65766486036183,3.19816291094933e-06,0.0016445240327542,2.78395977543991
"LOC100350215",82.7518388381132,-2.30754069945966,0.504368317257529,-4.57511033208187,4.75969084170933e-06,0.00235630424723216,2.62776863393453
"LOC100342837",34.4795870217013,-5.95945299827282,1.30624781813519,-4.56226828901469,5.06039266508916e-06,0.002439242432801,2.61274503363651
"CLEC4E",216.668841292914,-2.71456149611451,0.597050757899311,-4.54661762036036,5.45149099776756e-06,0.00256038360528483,2.59169496235311
"LOC103350727",32.9067066092411,1.13272043665033,0.249747384606088,4.53546465936732,5.74768024574354e-06,0.00263200647653211,2.57971304639596
"LOC103345141",24.2227114543941,-3.7599228367912,0.830086485240599,-4.52955553866341,5.91078958675905e-06,0.00264068128928453,2.57828401176449
"SERPINA6",2539.61155797831,4.35414515742793,0.964210180248057,4.51576351984561,6.30890377176967e-06,0.00274554738208941,2.5613710569255
"LOC108176167",484.135771695562,-2.97923732921509,0.661119649284404,-4.50635120653246,6.59518943123513e-06,0.00274554738208941,2.5613710569255
"LOC100357553",179.698896688137,-2.78729666387219,0.618147487648912,-4.50911266253546,6.50993331783958e-06,0.00274554738208941,2.5613710569255
"LOC100349504",138.387892309136,-2.51572435370915,0.55907790033624,-4.49977427509859,6.80256577220771e-06,0.00276894660554508,2.55768541880867
"LOC108175467",15.3759212870998,2.17725886815738,0.493599011298284,4.41098709341144,1.02900452223613e-05,0.0040974512682172,2.38748620287527
"MEP1A",73.6493994335253,-3.95137232021056,0.89761145126537,-4.40209660275644,1.07209799224181e-05,0.00410399414125509,2.38679326788221
"LOC100350735",171.355631741343,-2.64995091859653,0.602285108040791,-4.39982806019679,1.08336682678733e-05,0.00410399414125509,2.38679326788221
"MOGAT2",555.452925785586,-5.24554132058975,1.19993956104978,-4.37150460811596,1.23393245544624e-05,0.00452038815728174,2.34482427153203
"OSBP2",56.7571181517127,1.66873367456538,0.382131719508908,4.36690698356561,1.2601836152199e-05,0.00452603593725155,2.34428200201892
"SERPINE1",1241.44412370966,-2.65766781334237,0.612078739249347,-4.34203582467466,1.4116850721141e-05,0.00497266066652191,2.30341117593472
"BARX1",23.9758946049599,4.33379787791791,0.99970488468426,4.3350772256021,1.45708960221756e-05,0.0050357566497772,2.29793526510359
"LOC103351717",99.5672006477984,-2.97524172668924,0.699003684728038,-4.25640349499276,2.07741645486158e-05,0.00691855221885446,2.15998477680707
"ANO3",78.9536844859225,3.1669993084241,0.74528595792132,4.24937471954683,2.14368059691238e-05,0.00701174955243646,2.15417360454877
"ISX",27.1059471994595,-4.59558137406325,1.08369407712809,-4.24066299803173,2.22860528127637e-05,0.00716164262055075,2.14498735489564
"LOC108176663",31.9886441915938,-2.43111223525994,0.573827264661478,-4.23666211938213,2.26867132894877e-05,0.0071646987469577,2.14480206559943
"PDCD1LG2",46.5491920472103,-2.67006896079866,0.63503104021965,-4.20462747754049,2.61512514859535e-05,0.00811885548251203,2.09050518906708
"MIOX",65.8022597566003,3.70437115752825,0.882187141597294,4.19907634430161,2.68005956945459e-05,0.00818177518894997,2.08715245780511
"CPA1",614.320316091935,-5.75891427435,1.37901604992057,-4.1761038783281,2.96544440794801e-05,0.00890459757711208,2.05038570270144
"CPA2",155.987131593031,-5.42511229631187,1.30078002188873,-4.17066083812897,3.03717605194836e-05,0.00897289576508681,2.04706737726301
"LOC100356734",133.257394285893,1.76787273613565,0.426814420774074,4.14201735013879,3.44264293012546e-05,0.0100093477065251,1.99959422388804
"CHIT1",383.151304792902,-2.74612601084669,0.668053930318305,-4.11063521404366,3.94572140188119e-05,0.0112927779559778,1.94719921108211
"LOC103349505",7.89008440762922,1.67901130299735,0.408815900437833,4.10701076254413,4.00812560292529e-05,0.0112948979490435,1.94711768863627
"THBS4",129.423976139235,2.86841234905553,0.699542432310127,4.10041223601413,4.12414822454922e-05,0.0114457610650103,1.94135532440969
"LOC100339265",1151.68874777668,-4.80350348891977,1.17894105518329,-4.07442209922275,4.61287505101222e-05,0.0116553350828251,1.93347523629784
"ACE",9868.82889678582,-3.99434959588988,0.981501023458702,-4.06963365337535,4.70871210421496e-05,0.0116553350828251,1.93347523629784
"IL6",19.748012947812,-3.61329367717659,0.887179960149512,-4.07278549953683,4.64542033987306e-05,0.0116553350828251,1.93347523629784
"LOC100343733",415.008452218941,-3.16543839399359,0.776154394420505,-4.0783617496065,4.535415906065e-05,0.0116553350828251,1.93347523629784
"NEURL3",222.378611512351,-2.40487345367692,0.589149817854605,-4.08193872050117,4.46615741117727e-05,0.0116553350828251,1.93347523629784
"CCL2",149.288069093346,-2.31670820905447,0.569158470325841,-4.07040978890846,4.69305119137983e-05,0.0116553350828251,1.93347523629784
"LOC103344988",476.755123274552,2.27917221011646,0.557513198782335,4.08810448809894,4.34912266746978e-05,0.0116553350828251,1.93347523629784
"PPM1E",39.5002545382017,1.27667742863614,0.312371468723814,4.08704877513933,4.36895294250137e-05,0.0116553350828251,1.93347523629784
"SLC11A1",91.939084303046,-2.67223999460924,0.66222677240716,-4.03523401039162,5.4547904067009e-05,0.0133220527839387,1.87542884993694
"ENAH",3577.85835470453,2.08932867645971,0.519519483324895,4.02165605626208,5.77904009197778e-05,0.0139282470216786,1.85610353947828
"CLDN3",219.785457952748,-3.51958819095807,0.877281656455268,-4.01192497877964,6.02256407327806e-05,0.0143266631337967,1.84385495065866
"IL18BP",1080.73378946715,-1.67471000267104,0.42103060546434,-3.97764433496246,6.96013746836053e-05,0.0163447228215333,1.78662243991073
