"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CX3CL1",467.224235906573,-3.22052223903263,0.536140746561083,-6.00685969064974,1.89151069310228e-09,1.65592303627639e-05
"SLC11A1",417.655859477703,-3.66188544936988,0.604538159912991,-6.0573272163612,1.38401873989833e-09,1.65592303627639e-05
"THBS4",318.244742399701,2.90874302617972,0.495597250394872,5.86916699772274,4.37990104516008e-09,2.08266731863701e-05
"CD163",903.901932858725,-3.78077099357166,0.653875699038649,-5.7820943630881,7.37763022577821e-09,2.58349855246301e-05
"GPNMB",3961.26107245804,-2.6549512668339,0.46783857142974,-5.67493026220611,1.38745166523668e-08,4.04881520110484e-05
"GPX3",11043.1195217054,-2.49169666730416,0.445914918662133,-5.58782979223915,2.2992483061382e-08,5.75107694173911e-05
"S100A12",1234.43113021625,-2.96640210093753,0.546134959046554,-5.43162830322434,5.58421439305725e-08,8.14783415066994e-05
"CCL2",246.245376236481,-2.8516790222901,0.523648270869609,-5.4457909649055,5.15756779432083e-08,8.14783415066994e-05
"S100A9",2344.57916872081,-2.85097510066956,0.561837227869129,-5.07437912486222,3.8876326174606e-07,0.000363414666192331
"PTX3",83.9759842548968,-2.44725530802951,0.482535418965278,-5.07165943025957,3.94361680144742e-07,0.000363414666192331
"CNTN2",74.7283859184743,1.46275789506089,0.289665290985512,5.04982108862346,4.42224042014586e-07,0.00036870955960159
"VSIG4",2861.66562713402,-2.46484755952785,0.487831406067557,-5.05266272091244,4.35692887691685e-07,0.00036870955960159
"CCL5",1320.25296677619,-2.84695711146603,0.573452545621195,-4.96459058941321,6.88461458103863e-07,0.000463625833459251
"MSR1",462.325089619158,-2.50344138332816,0.507735333908959,-4.93060304480807,8.19761609768247e-07,0.000531600223164157
"CCR1",168.371733968522,-2.76832530081872,0.56768985393136,-4.87647485972762,1.07998445111023e-06,0.000638330665806807
"KCNMA1",633.345405121099,1.43311281511508,0.294033358377214,4.87398036408015,1.0937186575021e-06,0.000638330665806807
