Gene_novo,LOC_original,Comparacao,Tecido_ou_nivel,Direcao,log2FC,padj
ZNF462,LOC100357282,RHDV_vs_CONTROL,Baco,down,-1.03,0.0165
ZNF462,LOC100357282,RCV_vs_RHDV,Duodeno,up,3.36,0.0013
ZNF462,LOC100357282,RCV_vs_CONTROL,Duodeno,up,3.11,0.0348
ZNF462,LOC108178114 (ID antigo duplicado),RCV_vs_RHDV,Duodeno,up,2.84,0.0325,"ATENCAO: mesmo gene ZNF462 aparece com dois LOC IDs distintos na mesma comparacao - possivel duplicacao na anotacao"
IKBIP,LOC100337800,RCV_vs_RHDV,Duodeno,up,1.17,0.0162
GKN1,LOC100340733,RHDV_vs_CONTROL,Duodeno,down,-6.48,0.0398
GKN1,LOC100340733,RCV_vs_RHDV,Duodeno,up,11.48,4.3e-10
KRT32,LOC100340860,RCV_vs_RHDV,Timo,down,-1.08,0.0217
CTRB2,LOC100341936,RCV_vs_RHDV,Duodeno,down,-4.81,0.0059
CTRB2,LOC100341936,RHDV_4dpi_vs_CONTROL,Tempo(geral),up,2.87,0.0083
KLHL23,LOC100342960,RCV_vs_RHDV,Duodeno,up,2.87,0.0028
KLHL23,LOC100342960,RCV_vs_CONTROL,Duodeno,up,2.81,0.0371
KLHL23,LOC100342960,RHDV_vs_RCV_4dpi,Tempo(geral),down,-1.03,0.148 (nao sig em 4dpi)
SYCE1,LOC100343081,RCV_vs_RHDV,Duodeno,down,-1.73,0.0101
SYCE1,LOC100343081,RCV_vs_CONTROL,Duodeno,down,-2.06,0.0219
AMPH,LOC100343468,RCV_vs_RHDV,Duodeno,up,3.24,0.0030
C4BPA,LOC100343920,RCV_vs_RHDV,Duodeno,up,1.28,0.0058
MACROH2A2,LOC100343925,RCV_vs_RHDV,Duodeno,up,2.30,0.0053
MACROH2A2,LOC100343925,RHDV_vs_RCV_4dpi,Tempo(geral),down,-1.87,0.00017
MACROH2A2,LOC100343925,RHDV_14dpi_vs_4dpi,Tempo(geral),up,1.13,0.0335
MACROH2A2,LOC100343925,RHDV_4dpi_vs_CONTROL,Tempo(geral),down,-1.55,0.00037
SSC5D,LOC100344043,RCV_vs_RHDV,Duodeno,up,3.35,0.0156
SSC5D,LOC100344043,RHDV_vs_RCV_4dpi,Tempo(geral),down,-1.05,0.00079
PIK3R3,LOC100345250,RCV_vs_RHDV,Duodeno,up,1.25,0.0122
HERC6,LOC100345779,RHDV_vs_CONTROL,Duodeno,up,4.83,0.0423
HERC6,LOC100345779,RHDV_vs_CONTROL,Baco,up,3.22,0.0400
HERC6,LOC100345779,RCV_vs_CONTROL,Duodeno,up,5.52,0.0080
HERC6,LOC100345779,RHDV_vs_RCV_4dpi,Tempo(geral),up,1.35,0.0213 (ISG),
HERC6,LOC100345779,RCV_4dpi_vs_CONTROL,Tempo(geral),up,3.12,2.3e-05
HERC6,LOC100345779,RHDV_14dpi_vs_4dpi,Tempo(geral),down,-3.43,3.7e-16
HERC6,LOC100345779,RHDV_4dpi_vs_CONTROL,Tempo(geral),up,4.33,1.2e-40
TTLL13,LOC100346409,RHDV_vs_CONTROL,Timo,down,-1.19,0.0385
F13B,LOC100347263,RCV_vs_RHDV,Duodeno,down,-2.14,0.0115
F13B,LOC100347263,RHDV_14dpi_vs_4dpi,Tempo(geral),up,1.13,0.0088
ZSCAN26,LOC100347323,RCV_vs_RHDV,Duodeno,up,1.51,0.0182
CNTN6,LOC100348097,RCV_vs_RHDV,Timo,down,-6.18,0.0283
CCDC9B,LOC100348165,RCV_vs_RHDV,Duodeno,up,2.39,0.0477
SCHIP1,LOC100348758,RCV_vs_RHDV,Duodeno,up,3.13,0.0026
TCIM,LOC100349447,RCV_vs_RHDV,Duodeno,up,2.63,0.0115
MYL6,LOC100349824,RCV_vs_RHDV,Duodeno,up,1.42,0.0270
NFIX,LOC100350712,RCV_vs_RHDV,Baco,up,1.07,0.0220
NFIX,LOC100350712,RHDV_vs_CONTROL,Baco,down,-1.26,0.0145
NFIX,LOC100350712,RCV_vs_RHDV,Duodeno,up,1.40,0.0229
NFIX,LOC100350712,RHDV_vs_RCV_4dpi,Tempo(geral),down,-1.29,6.0e-06
NFIX,LOC100350712,RHDV_4dpi_vs_CONTROL,Tempo(geral),down,-1.00,0.00099
OLAH,LOC100349940,RCV_vs_RHDV,Timo,down,-3.20,0.0164
OLAH,LOC100349940,RHDV_vs_RCV_4dpi,Tempo(geral),up,2.52,4.4e-05
OLAH,LOC100349940,RHDV_14dpi_vs_4dpi,Tempo(geral),down,-2.51,1.2e-10
OLAH,LOC100349940,RHDV_4dpi_vs_CONTROL,Tempo(geral),up,2.13,1.9e-05
TUBG2,LOC100351097,RCV_vs_RHDV,Duodeno,up,2.01,0.0052
ITGAD,LOC100351363,RCV_vs_RHDV,Duodeno,down,-4.93,0.0182
MAP3K20,LOC100351826,RCV_vs_RHDV,Duodeno,up,1.84,0.0114
C7H1orf94,LOC100351040,RCV_vs_RHDV,Duodeno,down,-1.70,0.0104
C7H1orf94,LOC100351040,RCV_vs_CONTROL,Duodeno,down,-1.78,0.0445
CYP2S1,LOC100353317,RHDV_vs_CONTROL,Baco,down,-1.36,0.0375
PDZRN3,LOC100353349,RCV_vs_RHDV,Duodeno,up,1.65,0.0398
AOC3,LOC100353463,RCV_vs_RHDV,Duodeno,up,1.94,0.0172
CYP2U1,LOC100353947,RCV_vs_RHDV,Duodeno,down,-2.03,0.0361
OASL,LOC100356242,RHDV_vs_CONTROL,Duodeno,up,4.73,0.0444
OASL,LOC100356242,RHDV_vs_CONTROL,Baco,up,7.05,0.0078
OASL,LOC100356242,RCV_vs_RHDV,Timo,down,-3.07,0.0157
OASL,LOC100356242,RCV_vs_RHDV,Figado,down,-5.38,0.0267
OASL,LOC100356242,RHDV_vs_CONTROL,Figado,up,7.45,0.0036
OASL,LOC100356242,RCV_vs_CONTROL,Duodeno,up,5.22,0.0103
OASL,LOC100356242,RHDV_vs_RCV_4dpi,Tempo(geral),up,3.58,7.9e-07 (ISG-chave)
OASL,LOC100356242,RCV_4dpi_vs_CONTROL,Tempo(geral),up,3.36,3.3e-06
OASL,LOC100356242,RHDV_14dpi_vs_4dpi,Tempo(geral),down,-6.41,2.2e-21
OASL,LOC100356242,RHDV_4dpi_vs_CONTROL,Tempo(geral),up,6.88,2.9e-39
CMYA5,LOC100356369,RCV_vs_RHDV,Duodeno,up,3.41,0.0302
