"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZFP37",27.6664538763943,1.24040353611566,0.367815800235993,3.37234978845337,0.000745297283466752,0.0173569090215357
"AKAP2",1894.51908705915,2.15858649880625,0.566459555475381,3.81066305253643,0.000138594564257882,0.00593982045942394
"PALM2",85.681543090011,2.72576954190115,0.757234839228714,3.59963567534412,0.000318663334742591,0.0101461907870581
"TMEM245",3766.01188155793,1.96181695333881,0.603910901130935,3.24852051795215,0.00116006842037499,0.0228931851178872
"LOC108178114",47.9206388574347,2.84116101178824,0.917546636371155,3.09647586200617,0.00195835805446464,0.0325103391078234
"LOC100357282",257.099813035586,3.35896184516371,0.767720849391983,4.37523853601727,1.2129975909904e-05,0.00132126921586545
"PLPPR1",25.5604185344673,3.23175741916285,0.926299912826203,3.48888883007939,0.000485032823863155,0.0133339040381402
"NR4A3",655.170129324233,4.58754178191118,1.07891481397403,4.25199628598444,2.11873375108803e-05,0.00184703730536027
"COL15A1",1813.19033250139,2.3163795230225,0.520510453785675,4.45020749569094,8.57873634575839e-06,0.00103642847235863
"GABBR2",33.0362834916711,1.62636990090264,0.554851927959097,2.93117824585181,0.00337678967098092,0.047090184102935
"TMOD1",273.573534234818,2.25508447937047,0.69440330761114,3.24751402341145,0.00116417927019559,0.0228931851178872
"CCDC180",40.1858361413202,3.36932720748923,0.836609636492852,4.02735883083272,5.64069137308092e-05,0.00344399066531705
"GLIPR2",781.758706121831,1.33487970451025,0.39235408378229,3.40223221749605,0.000668378196455091,0.0163602122501665
"RECK",159.153235668716,1.45076219687806,0.433105519692296,3.34967376520338,0.00080906790148785,0.0182042025650617
"LOC108175942",14.6055005899962,2.32272550392014,0.598595725244596,3.8802908306287,0.000104331636300595,0.00495622013335587
"TPM2",28800.6682117812,3.64526833642614,0.764637390926151,4.7673163511019,1.86696041465613e-06,0.000379749569575338
"DNAJB5",999.380581475039,3.96413278841653,0.818872197318616,4.84096639426399,1.29209224157033e-06,0.000300909824601137
"ACER2",4528.84931218807,3.12352548676149,0.794516519768197,3.93135373405802,8.44688805405533e-05,0.00430226584318936
"ADAMTSL1",73.178184156194,1.98467708284287,0.672088951967051,2.952997630796,0.00314704378359256,0.0447280800001098
"CNTLN",183.117495780451,1.97471438053905,0.66701914482012,2.96050630011765,0.00307133839932291,0.0439746477168082
"BNC2",255.464849585148,2.49354666110037,0.638837339960401,3.90325753540789,9.49066224884736e-05,0.00464614942885014
"VLDLR",1363.38669010031,2.93352653623075,0.679639028491813,4.31630087921898,1.58665675334312e-05,0.00153962371386902
"PGM5",4063.39942217221,2.47756075571757,0.67361528235747,3.67800556282925,0.000235064834429193,0.00829443058628723
"MAMDC2",531.562035056524,1.70363598110394,0.572445255897838,2.97606795331356,0.00291970158802936,0.0426496194337407
"PRUNE2",4949.15128309573,3.980481874859,0.814758171147378,4.88547647120066,1.03179027661855e-06,0.000254993926579659
"RASEF",1584.29470810184,2.96286574551472,0.72035085615733,4.11308700501858,3.90403162365529e-05,0.00270823504377993
"ASPN",2204.9279055202,3.40176123329918,0.825012520966493,4.12328437065907,3.73508108589187e-05,0.00264736051574823
"ECM2",197.504342825347,1.42827591673902,0.442794252909516,3.22559723247104,0.00125710127125565,0.0241975156672491
"WNK2",692.806782363861,3.13402937157214,0.913308947380531,3.43151064112628,0.000600229581448839,0.0152176401816158
"BARX1",553.625287049951,9.61954147652939,2.12198300469537,4.53327922761113,5.80749617769801e-06,0.000776014776137975
"PTPDC1",208.379515699029,2.14104318081056,0.732854138654419,2.92151339247629,0.00348335299272275,0.0478396128789943
"ZNF367",435.648995216802,2.07941275877899,0.499861991110382,4.15997374427256,3.18284181191353e-05,0.00241984261272706
"LOC103348611",89.8363154902667,-2.08346263027535,0.486896603243866,-4.27906585586064,1.8767933114174e-05,0.00171938458698736
"DIRAS2",88.858773027358,2.98085554368333,0.761632666074496,3.91377060945515,9.08659619675831e-05,0.00450242222491045
"ADAMTS8",87.7539795946463,1.49825952363712,0.418921984875608,3.57646430058334,0.00034827285254082,0.0107123472492839
"LOC103348895",7.00148699833463,-4.54098588623116,1.09828883706872,-4.13460078347952,3.55572189056185e-05,0.00258774010089015
"SLC37A2",691.70616732253,-2.47729388346847,0.777861130943244,-3.18475083137844,0.00144878693546513,0.0264480678857251
"VSIG2",1241.58829915527,6.41006336702492,1.23146162421736,5.2052481709276,1.93737515441881e-07,9.86971555229231e-05
"CLMP",1163.0683788645,2.92074969689877,0.732450243303258,3.98764246937315,6.67331303644615e-05,0.00377227987565817
"TBCEL",469.023299606546,1.04694369495757,0.334909663425129,3.12604803411895,0.00177172610265313,0.0304388535408447
"TMEM136",60.9013617052919,2.21510275127968,0.633201762132016,3.49825740190827,0.000468308920914094,0.0130725548437355
"LOC100341914",43.0725824326701,4.15415803284743,1.20885166966114,3.43644976228713,0.000589391648440329,0.0151503960880531
"TAGLN",26024.6059807819,3.33679505410262,0.722841897416023,4.61621699853152,3.90798320576006e-06,0.000615264659234054
"DIXDC1",1033.09272905551,2.54885118992633,0.700291053674544,3.63970263014511,0.000272953075291935,0.00908098170083496
"HSPB2",53.1581345222329,3.90113953196823,0.907392080705034,4.29928761218314,1.7134799125457e-05,0.00160535342151264
"CRYAB",824.623422223132,3.03136011320394,0.762243226127866,3.97689347611916,6.98214231836312e-05,0.00387152666918216
"LOC100357544",22.851585711608,1.03835060689343,0.340305486462308,3.05123087402365,0.00227905257254074,0.0360709854733585
"ZC3H12C",175.413437069915,1.06649498993362,0.335185271539981,3.18180743752164,0.00146359093655288,0.0266884333866724
"LOC100358658",103.696270541693,4.5742900052813,0.961006752322414,4.75989372002523,1.93694927707455e-06,0.000380435507408065
"MMP13",1364.1869869585,4.4672043437914,0.870373460045537,5.13251443071079,2.85896800275527e-07,0.000116517240952291
"SLC36A4",473.763752519432,1.68344236178875,0.546017550952377,3.08312866290186,0.00204836572674603,0.0334121313672527
"FAT3",197.795265764408,5.29508226009224,0.935089058505085,5.66265021703646,1.49052793783598e-08,1.49967154164614e-05
"TRIM77",58.3892031540225,-2.13111040851214,0.65156221515239,-3.27077040219974,0.00107254950012587,0.0217487088508035
"SYTL2",11143.0655857575,3.69065468109374,0.859445745675029,4.29422648220221,1.75303451123923e-05,0.00163302677726982
"KCTD14",691.59348651331,4.83109135438848,1.03872563026957,4.65097925150333,3.30362568852966e-06,0.000560996937233442
"KCNE3",537.082064633364,2.61358430948011,0.74869187608076,3.4908677294078,0.00048145454706897,0.0133028339429124
"P4HA3",20.8179003289984,2.37246344702328,0.646263904607993,3.67104433669764,0.000241561428128574,0.00844095257352731
"ARHGEF17",637.228211606568,2.05111924313108,0.674360702406551,3.04157587447099,0.00235343243199968,0.0368330763138356
"PDE2A",922.8220453685,1.60072961817386,0.521562110782365,3.06910641145443,0.00214700102190543,0.034418758394067
"ILK",4712.75284988727,1.48820106900913,0.480865959948224,3.09483555286253,0.00196922045664605,0.0326242193945568
"SYT9",93.8231627967231,1.93967561067738,0.657625228062409,2.9495152070007,0.00318272909437308,0.0450444743625717
