"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PLIN2",3590.21378490408,-3.26620790316886,0.882213871654286,-3.70228581539329,0.000213665718959804,0.0469813210277498
"MMP12",915.595403287574,-6.5212027080967,1.30703046798073,-4.98932723287734,6.05899349868336e-07,0.000754950589935947
"MS4A4A",99.279460772412,-4.47523767531925,1.19467766629327,-3.74597918885066,0.000179691488272196,0.044509637363354
"LOC100357294",15.6102162015261,-2.65259710537013,0.704144994023917,-3.76711774972874,0.000165143121666261,0.044509637363354
"GPX3",25348.7551833491,-4.79922895616663,1.03167328196877,-4.65188838370236,3.28909101788464e-06,0.00273213827218951
"FABP5",828.075607496502,-3.04470103067517,0.792534357326545,-3.84172749424499,0.000122171430308704,0.0380564005411614
"FABP4",216.777428901511,-5.00532381605137,1.28126862401708,-3.90653741317609,9.36281521357199e-05,0.0318165484257565
"BPI",485.991264662511,-4.45049232264065,1.15557799573849,-3.85131279675889,0.000117486321870272,0.0373756486086024
"LOC100343299",12804.6684958545,-5.16515401590256,1.29030823598731,-4.0030388645472,6.25340246071064e-05,0.0267145353121559
"CX3CL1",538.646857785048,-5.32060438256058,1.25452241593949,-4.24113934909332,2.22388006790105e-05,0.0127890210674063
"GPRC5B",278.536059994219,1.19837379355514,0.321170546047742,3.73126928450344,0.000190517441897716,0.044509637363354
"ACVR1C",79.4389251929733,2.69603308218772,0.494980763365931,5.44674314988397,5.13004589337093e-08,0.000127840743662804
"MPP4",17.446887735448,1.83744988838639,0.422889731760298,4.34498582109791,1.39284659535889e-05,0.00867743428908591
"SLC11A1",164.893697660563,-6.26414685324508,1.41520598897727,-4.42631454504514,9.58567194257921e-06,0.00623152029936715
"CLEC4E",164.384716796942,-4.52837498878417,1.15248715614205,-3.92921948383607,8.52220279217058e-05,0.0303390419401273
"LOC100350907",170.073375182408,-5.9305008404444,1.52636974985566,-3.88536319001684,0.000102177020785297,0.033211974234386
"GPNMB",1766.42595421987,-4.26537311719954,1.0442193594682,-4.08474816955302,4.41246450890126e-05,0.0212823126893844
"ESM1",61.3407306283654,-2.37794100317114,0.635212309124862,-3.74353734808328,0.000181447617500524,0.044509637363354
"LOC100349504",114.874046939116,-5.65095738692882,1.3559460591223,-4.16753848644,3.07906538586071e-05,0.0155903991258819
"SELE",5.28462685532192,-5.25350207710083,1.41177492877541,-3.72120369190703,0.000198275422511681,0.0449867698906368
"S100A6",1279.44618800086,-3.55167345561395,0.951646055000039,-3.73213700298879,0.000189862184919565,0.044509637363354
"S100A8",721.014898841495,-5.56879773938189,1.24130032493056,-4.48626140470352,7.24838034948349e-06,0.00507389325211717
"S100A12",352.991401302554,-5.49278602931118,1.22607845238832,-4.47996294088002,7.46560002317935e-06,0.00507389325211717
"S100A9",747.641509677325,-6.10963179321282,1.25865846923749,-4.85408229677596,1.20945505753869e-06,0.00129169800145132
"LOC100346209",117.152257217761,-4.57879613108795,1.16942177616177,-3.91543600814096,9.0240978077359e-05,0.0313786768421552
"LOC100349005",4147.78302989002,-4.24768308785735,1.1301911996085,-3.75837565301231,0.000171019992897243,0.044509637363354
"LOC100349257",2300.70493978815,-4.77556451319959,1.18907507467268,-4.01620100775738,5.91438158159558e-05,0.0267145353121559
"LOC100358539",5515.5579961429,-4.57020684478345,1.20803386583493,-3.78317775191241,0.000154838753401894,0.044509637363354
"LOC100343913",168.990434620045,-5.47895964385544,1.38163182987061,-3.96557138117507,7.32203353814634e-05,0.028964335116703
"LOC100344421",4154.25460070846,-5.82695041298687,1.48007883316252,-3.93691895487504,8.25344656777053e-05,0.0303390419401273
"SLC51A",1207.06570081488,-6.3027889430994,1.2468973112098,-5.05477787660325,4.30891966697471e-07,0.000715855187340065
"LOC100348666",67.2968382883992,-4.10259133728373,1.09917666808569,-3.73242214504858,0.000189647322895773,0.044509637363354
"SLC18A1",1661.16300056257,-8.28104594837782,1.43908756443957,-5.75437252951508,8.69641952390143e-09,3.70316267526486e-05
"PLAC8",3588.35758282387,-5.05152792333607,1.19744018107071,-4.21860565829617,2.45817771810073e-05,0.0136128419411267
"CXCL8",288.404115124757,-6.45647871944062,1.31768525135278,-4.89986414647367,9.59029456631466e-07,0.00110303141811951
"CHIT1",353.328634876466,-6.68433951695121,1.54579981173784,-4.32419480594739,1.5308997534591e-05,0.00915600524548821
"CHI3L1",411.344862699975,-5.52692818317613,1.322821813172,-4.17813505049714,2.93909129307698e-05,0.0155903991258819
"SLC51B",3391.58654027739,-7.79500500065631,1.37159851481104,-5.68315357335466,1.32233426251255e-08,3.95430837861753e-05
"LOC103351327",84.419970009139,1.68965463100843,0.37596807167404,4.4941439401624,6.98503707568805e-06,0.00507389325211717
"ANKRD1",126.729235393847,-8.03509495031315,1.60393739484316,-5.00960634507735,5.45414820009942e-07,0.000748570589198458
"SLC13A5",1163.37321169894,-5.16036319489912,1.28769227897463,-4.00745059915109,6.1377694383165e-05,0.0267145353121559
