"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PDCD1LG2",22.5374592990146,4.01435102368078,1.09079454640478,3.68020819036173,0.000233043609483479,0.0499029783643804
"CASP4",513.202404764392,4.30841951715153,1.10798202216102,3.8885283614515,0.000100853886601704,0.0289925261072074
"MAL",184.87820352032,6.55066631829311,1.41813452969117,4.61921360854225,3.85197147479119e-06,0.00609360610286109
"TMEM173",125.611938524571,4.60947219154226,1.19323413698137,3.86300730819122,0.000111999655825125,0.0315774414240799
"GPX3",25348.7551833491,4.26297133785738,1.12307590985271,3.79579982123957,0.000147168215099894,0.0400086158333203
"BPI",485.991264662511,5.00337770893015,1.25983395805109,3.97145804568579,7.14340821722602e-05,0.0238021608801706
"SDCBP2",165.133094111665,4.49307657504076,1.21244587539297,3.70579558743972,0.000210728207479817,0.0493252203012049
"LOC100343299",12804.6684958545,5.55945838308901,1.40475932360144,3.95758781570925,7.5710457129026e-05,0.0246664669326367
"LOC100343557",12398.709791953,3.76506056060088,1.01741835473772,3.70060215944449,0.000215088465546562,0.0493252203012049
"CX3CL1",538.646857785048,5.45912236127964,1.36552083759897,3.9978316045902,6.39254012420462e-05,0.0223145311335628
"LOC108175372",52.9320271863102,-3.03510535218404,0.757212790585807,-4.00825948784617,6.11678901996199e-05,0.0223145311335628
"MYO7B",125.82982907061,3.70339395494569,1.00219488405678,3.69528323668421,0.000219641798865266,0.0493252203012049
"ACVR1C",79.4389251929733,-1.98055175489288,0.538452942699901,-3.67822626237686,0.000234861572003427,0.0499029783643804
"SLC11A1",164.893697660563,6.72441731566338,1.55210869921631,4.33243967968137,1.47466072867857e-05,0.0118367756617738
"ACOD1",665.423509384457,5.77769567689572,1.55143315510505,3.72410223275427,0.000196011490017642,0.0474223859999806
"FAM107A",170.603349651241,4.17207444940149,1.11889544756397,3.72874378788905,0.000192436684634548,0.0474223859999806
"GPNMB",1766.42595421987,4.59770590840258,1.13698131011821,4.04378318929849,5.25955595764281e-05,0.0202921973407898
"LOC100349504",114.874046939116,6.27074367181195,1.49431285715421,4.19640615537101,2.71183751396274e-05,0.012468331882719
"SLC22A3",13.3327312141612,2.99202483585775,0.789260875768054,3.79091999580762,0.000150090298808582,0.0400086158333203
"RNF32",7.53675002230762,3.19978850699075,0.848200431780798,3.77244385536657,0.000161656350246019,0.0423222098385159
"FCGR2A",385.460433029333,4.06893667554548,1.07252939824736,3.79377635913252,0.000148373321481407,0.0400086158333203
"LOC100338913",383.009584357583,4.71644574284505,1.12993342016862,4.17409172846768,2.99177205966868e-05,0.0130143980223997
"S100A8",721.014898841495,6.48552271856448,1.35674128466287,4.78022065951657,1.7510290016511e-06,0.00531113651849422
"S100A12",352.991401302554,5.65115287316499,1.33464569991355,4.23419704085589,2.29369770224096e-05,0.0121846157698572
"S100A9",747.641509677325,6.20495852397099,1.36967242784536,4.5302500056397,5.89139295623337e-06,0.00662050480693804
"LOC100358696",58.4662299681719,4.5482386357231,1.21229292044401,3.7517654017622,0.000175593736819497,0.0451645574650989
"WNT2B",18.1246931026799,-1.55552804744373,0.36621566191022,-4.24757379116428,2.16097999947927e-05,0.0121846157698572
"LOC100346209",117.152257217761,5.8935022979635,1.30522257631317,4.5153235968464,6.32201536710542e-06,0.00662050480693804
"LOC100349005",4147.78302989002,4.80062180346554,1.23058130929688,3.90110085956732,9.57562421492758e-05,0.0280776453230107
"LOC100349257",2300.70493978815,5.61808043883371,1.29539981371966,4.33694707945167,1.44475391717818e-05,0.0118367756617738
"LOC100358539",5515.5579961429,5.2336438816494,1.31535817021141,3.97887358757061,6.92425426857459e-05,0.0236084864724586
"LOC100343913",168.990434620045,6.05949148611215,1.51369979334112,4.00309989653716,6.25178881706608e-05,0.0223145311335628
"SLC51A",1207.06570081488,6.22112907993478,1.35616165503626,4.58730642975482,4.49001409680159e-06,0.00609360610286109
"LOC100348666",67.2968382883992,4.73382226089461,1.21053176560353,3.91053121892633,9.20933556906648e-05,0.0280776453230107
"SLC18A1",1661.16300056257,7.29826814232203,1.55603661777779,4.69029331247026,2.72813686182184e-06,0.00531113651849422
"PLAC8",3588.35758282387,5.51834736732434,1.30386620916242,4.23229571296984,2.31317991234139e-05,0.0121846157698572
"CXCL11",522.727259793128,6.87917016880102,1.74304119597468,3.94664806815096,7.92529172424035e-05,0.0252592830367582
"CHI3L1",411.344862699975,6.15195938300789,1.44482071938561,4.25793961871196,2.06319654420378e-05,0.0121846157698572
"SLC51B",3391.58654027739,6.96838605853963,1.48963586609249,4.6779123792304,2.89810327726306e-06,0.00531113651849422
"C17H15orf48",58.7496938219283,5.30872082744895,1.1582173397959,4.58352732690433,4.57197102049465e-06,0.00609360610286109
"LOC103351327",84.419970009139,-1.74873484150031,0.405960529750873,-4.30764745176942,1.6500009871128e-05,0.0120953322360304
"LOC100342321",969.29815769345,4.92488721803497,1.17381988595353,4.19560724517318,2.72141477557471e-05,0.012468331882719
"LOC100342826",2936.26590993767,5.1263292990063,1.26570807389611,4.0501671789344,5.1181055199047e-05,0.0202801473046818
"LOC108178402",963.917537560866,4.87157321911671,1.07799990094736,4.51908503408533,6.21074484639347e-06,0.00662050480693804
"SLC13A5",1163.37321169894,5.91699648987567,1.40365929053241,4.21540791970347,2.49327108038822e-05,0.0121846157698572
"LGALS9",2501.44863503086,4.82836459454663,1.22561719107014,3.93953726312435,8.16389216072372e-05,0.0254661325464618
"CCL5",734.280725379794,6.03626187666011,1.43164685335955,4.21630646028048,2.4833622596863e-05,0.0121846157698572
"LOC100354724",119.980717142215,5.31911551047166,1.42235249766982,3.73966054067872,0.000184268931455313,0.046578738001144
"PGF",312.946206272311,6.42408493612068,1.54360607475429,4.16173856865864,3.15833807974463e-05,0.013229827024896
"RPS6KL1",527.810310699934,6.68689028507312,1.52057383052785,4.39760973839188,1.09449549903561e-05,0.010697599007574
"CXHXorf21",38.750214016538,5.34058815237193,1.44782874842174,3.68868773892882,0.000225413666201537,0.0493252203012049
"ORM1",48563.4149896089,7.9870206583794,1.58767590506613,5.03063668907081,4.8885371999191e-07,0.00358354219440069
"MCP-1",79.1113441922875,4.96089426319633,1.34195091829214,3.69677772530601,0.000218353363566233,0.0493252203012049
"RSAD2",2111.89962246386,6.17567627406421,1.4243925924564,4.33565598892514,1.45326072771088e-05,0.0118367756617738
"SAA3",5398.54680703892,6.11505909062963,1.47400980240751,4.14858780493987,3.34532536025048e-05,0.0136238375296201
"LOC100342244",9306.57754769914,5.15775461756885,1.23625102983475,4.17209328291381,3.01814018662839e-05,0.0130143980223997
"LOC100009259",93402.1432698554,7.46586940191207,1.5204814581618,4.91020088527618,9.09831391546921e-07,0.00444634601048981
"LOC100009168",31467.611922076,6.79429913064409,1.58675751150256,4.28187614137102,1.85324133100356e-05,0.0121846157698572
"FAM169B",552.917133152074,-1.17416181958072,0.249426066569063,-4.70745434000425,2.50829440043974e-06,0.00531113651849422
"LOC100356242",5241.70714869251,7.44674551234904,1.45835460922273,5.1062652836665,3.28588307988603e-07,0.00358354219440069
"FAM131C",220.970941460502,6.09587878365495,1.40985930628922,4.32374972201973,1.53399316263354e-05,0.0118367756617738
"LOC100348443",336.80948561454,7.26550379793676,1.53599104864809,4.730173267827,2.24328293979827e-06,0.00531113651849422
"NLRP3",97.9400471454175,4.41741249819539,1.1319668963577,3.90242198107488,9.52349398241678e-05,0.0280776453230107
"CRISPLD2",80.8747595239613,8.23735357908718,1.94552213612493,4.23400660734411,2.29564194552557e-05,0.0121846157698572
"LOC100009451",685.135797109644,5.32370102912273,1.43016605506421,3.72243559429449,0.00019731024800483,0.0474223859999806
"ISG15",3077.44178308133,7.11235013836273,1.66533249841594,4.27082888559971,1.94747793256944e-05,0.0121846157698572
"LOC100350385",118.544502728521,5.91309824020049,1.47218884272291,4.01653515405254,5.90600574026872e-05,0.0222020385020717
