"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"APOA1",87.078220479201,-1.2326919326214,0.287421101098879,-4.28880109326881,1.79640155394258e-05,0.0163362761313812
"BBOX1",143.695181965253,-2.35669844327268,0.576153555687704,-4.09039989427766,4.30630051137742e-05,0.0261073455817544
"IL1R2",749.100754267767,-4.241034628431,0.844549395868229,-5.02165373532836,5.12284761049099e-07,0.00167711785072254
"LOC100357553",98.4646176851883,-1.09304438689852,0.275000558918635,-3.97469878314655,7.04683847602428e-05,0.0289028232342799
"TIMD4",529.400782055008,-3.83180202259193,0.720986416512268,-5.31466603924115,1.06853112033352e-07,0.000437269647718485
"FABP4",4397.84767447732,-2.83540943261468,0.708623028156069,-4.00129451055632,6.29968900043332e-05,0.0283186954310923
"PPP1R1A",52.8829864000785,-1.95990331556726,0.448595703519111,-4.36897478106089,1.24831179448602e-05,0.0136224105092945
"LOC100343299",117.634824223551,-4.4383410023689,0.978252049002268,-4.53701171073,5.7056939407127e-06,0.00933965041155262
"CD36",1408.38556363738,-2.86618517227236,0.71234647297906,-4.02358301892879,5.73193658273459e-05,0.0283186954310923
"LOC108177116",21.3953963671632,-4.06474560560377,1.02638944539095,-3.96023714376323,7.48753704482973e-05,0.0289028232342799
"CABLES1",205.207998286692,-1.21693096002516,0.323010018020873,-3.76747126136045,0.000164909517884823,0.0463380392504036
"RAB27B",827.322150926465,-2.14151883430724,0.546421155663359,-3.91917262373822,8.88534608242444e-05,0.0316183108746099
"PDK4",2492.64617896244,-4.45621972105496,0.902416315489259,-4.93809746628855,7.88884146813095e-07,0.00215220743319726
"LOC100354186",55.0053272728496,-2.67280783446265,0.694982646691982,-3.84586269482386,0.000120129022906386,0.0393278395190926
"LOC100328910",2787.70768382487,-2.42665093347431,0.604938459662456,-4.01140131647166,6.03594065341592e-05,0.0283186954310923
"CD5L",59.7515425473972,-3.57691278791438,0.888587677820596,-4.02539094024726,5.68807379942224e-05,0.0283186954310923
"HMGCS2",294.372418800839,-3.17591110985355,0.722932855468684,-4.39309278286235,1.11749405765059e-05,0.0130659001640589
"LOC100343225",57.9638627086458,-4.08544581509595,1.05905754146789,-3.85762402431258,0.000114494586056887,0.038248201615616
