"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","negLogPadj"
"LOC100358069",321.91405336616,5.51333554655564,0.247936818352305,22.2368568863439,1.51182623629974e-109,2.70238939738579e-105,104.56825207169
"LOC100352749",239.623596037658,-6.96493791837773,0.314357798053536,-22.1560844410533,9.11394735830637e-109,8.14559045148632e-105,104.0890774294
"LOC100351756",135.647416832807,-4.47131240215179,0.257334155343809,-17.3755108262949,1.26475012899157e-67,7.53580285190812e-64,63.1228704718723
"TMEM86A",700.195528384943,-1.51323482144374,0.108719971320741,-13.9186462529452,4.88060750860308e-44,2.181021480407e-40,39.6613400571282
"FPR1",1287.94170889562,-3.74745636087027,0.271192260060295,-13.8184488009986,1.97275159152825e-43,7.0525869397135e-40,39.1516515514392
"FCGR2A",1378.83994269873,-4.42585146196385,0.326609442935339,-13.5508986580038,7.82660529288671e-42,2.3316761601725e-38,37.6323317676421
"IL1R2",7996.26688666095,-4.06216164638666,0.311782421944221,-13.0288347272939,8.38788567031375e-39,1.87416820446073e-35,34.7271914342642
"CLEC1A",247.938661332069,-1.86775841006958,0.143258268415111,-13.0377005860318,7.4675346238546e-39,1.87416820446073e-35,34.7271914342642
"LOC100342544",598.366653034118,-4.04706194216012,0.322322322457706,-12.5559468277012,3.68743724286211e-36,7.32366007957335e-33,32.1352718212507
"LOC103345926",10250.3972030448,-3.99316225240271,0.329883670631855,-12.1047587616394,9.96619381177886e-34,1.78145714385547e-30,29.7492246209195
"NREP",844.382020487941,1.74934336111555,0.146346556344894,11.9534303013791,6.22996181618259e-33,1.01236879512967e-29,28.9946612498353
"LOC103348590",67.7960823494847,8.4387618296529,0.720821571438468,11.7071438536621,1.17160076874405e-31,1.74519697844165e-28,27.7581555476032
"MYO7A",1092.41444185482,-2.2690496406333,0.195528957274559,-11.6046731505203,3.90175556696363e-31,5.36491390457499e-28,27.2704372431422
"FCER1G",5047.210261935,-2.42554781421507,0.211712600692382,-11.4567947598895,2.17412595795766e-30,2.77589296417808e-27,26.5565972838811
"RTP4",4346.73339070242,-2.51242578883681,0.224157804444761,-11.2082904945473,3.71295138383356e-29,4.42460039906833e-26,25.3541259458285
"ESAM",795.44998250976,-2.0284808055849,0.182656947813375,-11.1054127963281,1.18070505222725e-28,1.31906892553513e-25,24.8797325105966
"LOC100353852",4141.85966151411,-2.33655039462757,0.220015837622922,-10.619919092516,2.407697127677e-26,2.53162271513096e-23,22.5966010162477
"XAF1",1659.00049315363,-3.51404689601801,0.332201475483736,-10.5780592662962,3.76679548159256e-26,3.63056501329596e-23,22.440025781834
"LOC100337909",3170.96156281344,-3.07181089268259,0.290456839024146,-10.5757912363262,3.85906211203486e-26,3.63056501329596e-23,22.440025781834
"LOC100338196",50.3740023964363,5.46482778787596,0.518187186750203,10.5460496276422,5.29779535183001e-26,4.73490459569807e-23,22.3246887672371
"OAS1",2409.55858507494,-4.00835523788223,0.381481752977813,-10.5073314951328,7.99230404463421e-26,6.80297308561126e-23,22.1673012472217
"LOC100356242",12049.630098852,-6.40779847543396,0.630106587062347,-10.1693881749564,2.71609334173154e-24,2.20682584015687e-21,20.6562319394452
"S100A9",4413.81540744601,-5.05067426408009,0.498967573375444,-10.1222494879036,4.40180686392918e-24,3.42096946490148e-21,20.4658508022499
"MX1",21677.5946047256,-3.26175874803455,0.325827166991527,-10.0107022325716,1.36778179276079e-23,1.01871248106663e-20,19.9919483729178
"VSIG4",5958.66855793444,-4.3294001053604,0.436579825354914,-9.91662888187938,3.52459706096576e-23,2.52008689859052e-20,19.5985844834535
"TTC39B",698.293917977011,1.49139240541603,0.150919751853714,9.88202264513153,4.98170596774322e-23,3.42492285282346e-20,19.4653492066447
"OAS2",5997.48579882192,-3.5472145074308,0.359224480126756,-9.87464580971522,5.36220588210253e-23,3.54997889416973e-20,19.4497742289654
"CX3CL1",1093.89177849456,-4.98954127698302,0.50572046999017,-9.86620390722962,5.83304494691638e-23,3.72377422950465e-20,19.4290166579411
"LOC100338913",1411.49831168081,-4.18225597289775,0.424092483935588,-9.86166020695844,6.10317743237604e-23,3.76187229668006e-20,19.4245959514195
"MOV10",1916.62141118152,-1.43273992973889,0.14573202394964,-9.83133213214684,8.25199013675623e-23,4.91681078981725e-20,19.3083165040384
"NLRP3",264.618079449807,-3.14899358971243,0.320927277608714,-9.81217182028321,9.97971507141365e-23,5.75443248069416e-20,19.2399975013402
"IGSF6",1133.69655998761,-2.81810507948286,0.288926750416547,-9.75370080970345,1.77863397077672e-22,9.93533819613557e-20,19.0028173450398
"LOC100342826",7197.87671719261,-4.7615893099357,0.490034461288925,-9.71684582633517,2.55575766348189e-22,1.38436873438602e-19,18.858748217697
"LOC108176037",335.695182813059,-3.05074316039989,0.314331286996938,-9.70550271831393,2.85664573176024e-22,1.50183948397689e-19,18.8233764820777
"LOC100353536",2000.54566818697,-3.24590388928934,0.3384328671165,-9.59098304176227,8.72497036342519e-22,4.45596700703501e-19,18.3510580334348
"LOC100358731",1991.96783494886,-3.06301091208153,0.322451676643436,-9.49913160311637,2.11647870627465e-21,1.05089046874054e-18,17.9784425468647
"SLC37A2",1503.62688209289,-2.56078061466198,0.269969331320667,-9.48545007736569,2.41339319655432e-21,1.16592982130834e-18,17.9333275894876
"ZNFX1",9840.01846397024,-1.89147436026426,0.200200596319592,-9.44789573575891,3.45710467372934e-21,1.62620384323452e-18,17.7888250168949
"LGALS9",9720.10076490278,-4.17322947392345,0.443200670227596,-9.4161172449951,4.68077541835819e-21,2.14535540008084e-18,17.6685007521932
"UBE2L6",3529.5658843785,-2.22322250725075,0.236898097293327,-9.3847208257564,6.30833352996667e-21,2.81903654620386e-18,17.5498992938653
"CD163",2010.72656932477,-5.88578282796434,0.631929876787391,-9.31398094023743,1.2312880351314e-20,5.36811551901799e-18,17.27017814695
"OASL",1780.08700162426,-2.56099176413921,0.276672491966221,-9.25640184153863,2.11437400786993e-20,8.99867509301784e-18,17.0458214285772
"CSF2RA",1768.3359570649,-2.55394201011348,0.276035293262702,-9.25222995917012,2.19857088550747e-20,9.13940804149909e-18,17.0390819325633
"PTX3",157.035845193119,-3.96523967110146,0.430362268048674,-9.21372519268578,3.14998913509185e-20,1.27968308613106e-17,16.8928975701847
"LOC103351679",3330.66924156488,-2.26143998120792,0.246661873714484,-9.16817806965005,4.81080838010329e-20,1.91095999542992e-17,16.7187484044918
"GPNMB",7987.98773956292,-4.2184737281018,0.462989572674957,-9.11137955813834,8.1340977290986e-20,3.16080428060082e-17,16.5002023951717
"CD68",3564.77902640399,-2.64341622311922,0.29104807024383,-9.08240422588839,1.06202523489574e-19,4.03908533484284e-17,16.3937169712767
"LOC103347102",326.366626494517,-3.7421326827699,0.412505519952486,-9.0717154117136,1.17157765559806e-19,4.36290637371154e-17,16.3602241067053
"NRP1",2138.52982854344,-1.25844284918815,0.139290714975133,-9.03464993637813,1.64528179727786e-19,6.00192084211055e-17,16.2217097366788
"C13H1orf162",3131.42164498181,-2.55427979237245,0.284150874058799,-8.98916746546375,2.49110211601263e-19,8.90569006474514e-17,16.0503324232305
"CXCR1",383.828994107037,-3.16649395288496,0.35523895774291,-8.91370128153731,4.93566841049357e-19,1.72990338897201e-16,15.7619781505174
"CSF1R",4984.75717446004,-2.17203212576609,0.245669526135971,-8.84127616448421,9.46314319627562e-19,3.25295547371974e-16,15.4877218812771
"LOC100345779",3757.17558542929,-3.43091191931517,0.388795921246145,-8.82445450641205,1.09994636685497e-18,3.70972477500615e-16,15.4306583095574
"IFIT2",3131.64100550989,-3.34418380490214,0.381903709858325,-8.75661513249697,2.01201203292817e-18,6.61107089694429e-16,15.1797281854519
"HEXA",11367.453664065,-1.25787620427616,0.143668950173582,-8.75537966106374,2.03417566059824e-18,6.61107089694429e-16,15.1797281854519
"ADM",349.14143375286,-2.25688784100935,0.258581161446598,-8.72796698871445,2.59291306703316e-18,8.27648590593173e-16,15.0821540201728
"UBA7",3589.10875190185,-2.6191056960457,0.301090903980765,-8.69872075648298,3.35646335743833e-18,1.05257513182825e-15,14.977746894852
