"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","negLogPadj"
"LOC100357982",3004.11328502325,5.67046084896459,0.255746358855789,22.1722055959439,6.3710856111277e-109,1.13080398511906e-104,103.946612669662
"LOC103345651",122.793017720045,2.85378671932873,0.213105903246077,13.3914015325676,6.78874769239438e-41,6.02467413961539e-37,36.2200664380799
"LOC100343299",20722.4347875835,5.0205640178728,0.480750342481131,10.4431834451992,1.57440633612996e-25,9.31471268665691e-22,21.0308305364225
"NEU1",3465.84170039151,1.1281880453121,0.118269953449822,9.53909266389249,1.44087394654731e-21,6.39351791931703e-18,17.1942601132744
"IL1R2",13654.9131071679,3.5045591063406,0.373776028533396,9.37609380700957,6.84621791252611e-21,2.43027043458852e-17,16.614345396478
"SLC43A2",6169.303586416,1.36455623442913,0.147830538840621,9.23054360168631,2.69261876228787e-20,6.8273272016925e-17,16.165749282957
"GLMP",2820.73555216086,1.03467162275879,0.111931826269039,9.24376611413323,2.37970405683014e-20,6.8273272016925e-17,16.165749282957
"ATP6V0C",7337.25275365753,1.03501535217145,0.118473184919657,8.73628368202768,2.40904555022769e-18,4.27581494709913e-15,14.3689810988779
"CD68",5638.62232298947,1.96619282740963,0.230158986458606,8.54275932329607,1.31054169485027e-17,1.78929265706903e-14,13.7473186203295
"LOC103345547",68.4162351748887,-2.40708608008784,0.284825356601069,-8.45109476492025,2.88583894272365e-17,3.65862538531444e-14,13.4366820566024
"SLC7A7",4644.71234381671,1.56002522334131,0.18584561218208,8.39419992231454,4.69077398612835e-17,5.55043649865281e-14,13.2556728616517
"NREP",1131.48147953789,-1.81696403197505,0.216731211531203,-8.38349040333518,5.13808678226648e-17,5.69974389365298e-14,13.2441446580244
"PLVAP",2574.07423545776,1.13020729719102,0.136901795930448,8.25560606790879,1.51133337745958e-16,1.49025867314056e-13,12.8267383419453
"CTSB",72463.3209109247,1.64014503701681,0.200116409176405,8.19595476336476,2.4861182820322e-16,2.20630566938947e-13,12.6563343190342
"PFKFB4",1544.06206214006,1.29583668831372,0.161828383128552,8.00747472885732,1.17087795363145e-15,9.03561426043677e-13,12.0440423178291
"CLEC1A",381.267739896823,1.35786744784588,0.173499430733565,7.8263510266561,5.02233798219569e-15,3.7142282019163e-12,11.4301314167545
"FADS2",3000.1568508312,-1.35403623101757,0.173830130981963,-7.7894219107392,6.73164707124831e-15,4.77920015470345e-12,11.3206447806818
"CALML4",1707.32493012768,1.22255544371753,0.159782075145274,7.65139295259486,1.9881377934198e-14,1.30694287760771e-11,10.8837433936604
"PNKD",4308.56366857113,1.08888839617808,0.146398662663562,7.43783021215462,1.02352492330731e-13,6.48805137992196e-11,10.1878857195355
"LOC100351365",71.3042273475535,-2.58517315702426,0.351657793737325,-7.35138877358504,1.96157959043519e-13,1.1605358716878e-10,9.93534143113629
"LOC108176894",294.585155671567,2.76872630797764,0.378879019031074,7.30767915061183,2.71795825693415e-13,1.50753253444763e-10,9.82173330646568
"LOC100347711",1651.90792866229,2.67524837344808,0.366083591621884,7.30775275011851,2.71647039267801e-13,1.50753253444763e-10,9.82173330646568
"NAGPA",2610.63999047283,1.2830360761802,0.176825434171128,7.2559475518579,3.98859625841006e-13,2.14526045425819e-10,9.66851997295231
"ESAM",1159.505524148,1.6375200647712,0.227930690165589,7.18428950301323,6.75575780364725e-13,3.24075527721446e-10,9.48935376309557
"FAT2",267.804244782013,3.09461746213346,0.431796582435458,7.16684102657534,7.6748065223603e-13,3.40550352413432e-10,9.467818665958
"CD36",20099.4250864719,2.67611612505955,0.37325026578638,7.16976348140409,7.51274465787697e-13,3.40550352413432e-10,9.467818665958
"AXIN2",451.571592608845,-2.00328732540896,0.279300727501931,-7.17251023055466,7.36349105533312e-13,3.40550352413432e-10,9.467818665958
"LOC108176037",531.002217768424,2.94211284440446,0.422340753040335,6.96620637062577,3.25601424121761e-12,1.31343174471298e-09,8.88159249133221
"CSTB",4391.93256183635,1.19435492667117,0.172072420395037,6.94100149186729,3.89329901175335e-12,1.53560364799134e-09,8.81372086484024
"SGK1",5687.82889709561,1.10693082608993,0.159930483965653,6.92132480714347,4.47439248221835e-12,1.72643461232377e-09,8.76284986564626
"VSIG4",9970.67171446028,3.07489776920669,0.446385117070877,6.88844150849781,5.64069172672165e-12,2.0857632803663e-09,8.68073498251751
"CD63",16996.5964468522,1.22608670334547,0.179678148803436,6.82379416479174,8.8666902293711e-12,3.0857820564923e-09,8.51063475066601
"GRN",21422.6334975777,1.44021621602712,0.211352843722452,6.8142741335357,9.47408949477456e-12,3.2337618162068e-09,8.49029197135494
"PTX3",249.707621395347,2.9149995177961,0.433686156618931,6.7214493091543,1.799258322609e-11,5.80637017599767e-09,8.23609527986013
"NLRP3",438.426722196196,2.36990771901272,0.352848771554846,6.71649700966677,1.86145127164668e-11,5.89980332508161e-09,8.22916246568929
"CX3CL1",1838.08683226154,3.6928199320945,0.552133371158008,6.68827519762015,2.25816193551875e-11,6.91036486095213e-09,8.16049902166851
"LOC108176663",109.811824696933,2.67080650626164,0.400148309783589,6.67454151613457,2.48006266531468e-11,7.46078512655427e-09,8.12721546767634
"PLPP1",6785.82980531366,1.36085524728333,0.204367273256469,6.65887069685339,2.75939559012887e-11,8.16275205486622e-09,8.08816339507706
"PRM3",28.381103556076,4.08183918733784,0.616346017858026,6.62264226436209,3.52834204363573e-11,1.02663185135231e-08,7.988585265838
"LOC100339305",511.622354188334,-2.91738493652128,0.440828697569461,-6.617956028286,3.64199313848398e-11,1.04260864862826e-08,7.98187867684239
"PADI4",135.027302535151,2.04940827989618,0.310325192164582,6.60406673915559,4.0002929612583e-11,1.10939374639646e-08,7.95491428654909
"TMEM86A",1041.97531780835,1.22696137862627,0.185775529743462,6.60453710087968,3.98761341856457e-11,1.10939374639646e-08,7.95491428654909
"PRAM1",959.646838441444,1.90153134250543,0.290504195523693,6.54562437240376,5.92473267639094e-11,1.57028618313541e-08,7.80402119062887
"CTSA",16495.2996919595,1.04646539744076,0.159829489358799,6.54738622790417,5.85527957137706e-11,1.57028618313541e-08,7.80402119062887
"APLNR",1483.88225065681,-1.09780074087145,0.168945568422581,-6.49795523565047,8.14190210237869e-11,2.12515618257528e-08,7.67260914714868
"MYO7A",1782.78083107951,1.61321354244767,0.250175476033486,6.44832806166718,1.13090763133433e-10,2.90905500703668e-08,7.53624806664341
"SLC17A8",116.683046882619,-2.79573443974456,0.439458670462666,-6.36176875700549,1.99443555029259e-10,4.91656063640877e-08,7.30833860027378
"SLC37A2",2353.58874051896,1.80382422919858,0.283707798158871,6.3580354184994,2.04350359875342e-10,4.9685130649691e-08,7.30377356384196
"FCER1G",8085.65948757553,1.92329301465172,0.303313196342263,6.34094737006248,2.28356546982142e-10,5.47716263835951e-08,7.26144436297967
"C5AR1",3120.67416345504,1.99023671306719,0.316252533843673,6.29318819640189,3.11010887117864e-10,7.26333188875655e-08,7.1388641108486
"LOC100340803",1351.32800159667,1.05129984878351,0.167395424086659,6.28033803504245,3.37837667362525e-10,7.68753943335572e-08,7.11421264349037
"EPB41L3",3521.08254497065,1.1461366778232,0.182792233731827,6.27016068693971,3.6067570165617e-10,8.10333294771565e-08,7.09133631654333
"SERPINF1",808.012856624136,-1.89449470090988,0.302959628100434,-6.25329095097066,4.01892407045581e-10,8.91648541581503e-08,7.0498062964422
"LOC103346277",63.3367714312966,3.01283968493941,0.482324786921308,6.24649565321004,4.19763695646214e-10,9.19800720249958e-08,7.03630625468755
"NUAK2",919.982571693911,1.44975518111675,0.232952839865736,6.22338487889791,4.8654185461289e-10,1.02805135446717e-07,6.98798519039459
"PECAM1",5058.563356201,1.17057355144396,0.188054876238929,6.22463812082551,4.82668770512857e-10,1.02805135446717e-07,6.98798519039459
"LOC100009266",3533.74889866087,-3.31265842426847,0.53355271461622,-6.20868066738491,5.34312712043047e-10,1.09634933617691e-07,6.96005104201907
"EFNB3",49.6384816837061,-2.72932743612803,0.439789957403735,-6.20597944582546,5.43572829926012e-10,1.09634933617691e-07,6.96005104201907
"MYCN",27.7932929621836,-2.44878477389446,0.394545151612507,-6.20660211863274,5.41424440694925e-10,1.09634933617691e-07,6.96005104201907
"S100A12",4046.17839128328,2.81306547143902,0.454435542763913,6.19024087405166,6.00723456096569e-10,1.18813311848782e-07,6.92513489825557
"ACP2",4822.46219549364,1.0408075952809,0.168149262893846,6.18978387040553,6.02467635719778e-10,1.18813311848782e-07,6.92513489825557
"FAT3",31.1031122370976,-2.06397357469585,0.335447421165132,-6.15289742734319,7.60800141938573e-10,1.4810083071401e-07,6.82944250546597
"LOC100342960",531.079230166549,-1.02758890346605,0.167094179731591,-6.14975880737857,7.76008634650003e-10,1.4810083071401e-07,6.82944250546597
"XDH",4218.78943596379,2.15731168157162,0.351893108564863,6.13058803671903,8.75548514391474e-10,1.61876151895149e-07,6.79081712816586
"FCGR2A",2380.55041532297,2.79850604603097,0.457178534939403,6.121254241304,9.28416284941022e-10,1.69881037540394e-07,6.76985509524027
"THBS4",108.381108085246,-3.69035206683502,0.604599884099391,-6.10379221678507,1.03580926440705e-09,1.87597741162865e-07,6.72677239520221
"ASPN",734.513780194632,-2.96375343329798,0.487588932219364,-6.07838537230087,1.21398716737453e-09,2.15630481018206e-07,6.6662898482982
"LOC100328967",213836.507731118,1.38746546649436,0.228266643191576,6.07826639536602,1.21488805576768e-09,2.15630481018206e-07,6.6662898482982
"CXCR1",673.119591202099,2.03210826387812,0.334820461684116,6.06924754137426,1.28510934553405e-09,2.25835700731524e-07,6.64620740251234
"CMKLR1",989.612054272489,1.46135840295014,0.24106771789736,6.0620244622399,1.34418763896915e-09,2.33901827490819e-07,6.63096638500539
"IL15RA",397.951727439782,1.61995970750545,0.267367242034237,6.05893113599164,1.37029037454761e-09,2.36128969493645e-07,6.6268507282138
"DNM1",156.753469009756,-1.99098446645979,0.329766068065929,-6.03756619999407,1.56455984208175e-09,2.61975213557632e-07,6.58173979694121
"DEFB1",425.460074862932,1.67861980899951,0.278026553741828,6.03762405571609,1.56399916261288e-09,2.61975213557632e-07,6.58173979694121
"IL13RA2",359.197571808904,-1.7777672353458,0.294575073594208,-6.03502262990099,1.58940412215121e-09,2.63647979103382e-07,6.57897555324438
"CTSD",45060.7736304472,1.83538642782026,0.304510456139291,6.02733466393912,1.66685623987061e-09,2.73935475939476e-07,6.56235172091482
"ITPKA",371.792342654536,-2.02042323886159,0.336983319034271,-5.99561795714912,2.02713087542856e-09,3.2708678098165e-07,6.48533700727438
"TBC1D2",452.493649960152,1.60237357600019,0.267751728805188,5.98454987816735,2.16989089660124e-09,3.43296988269981e-07,6.46433000660473
"GUCY1B3",812.116575714213,-1.07136073902587,0.179170675210894,-5.97955406354759,2.23749294284698e-09,3.48361949496413e-07,6.45796928772351
"GPNMB",13134.8300091296,3.12442993150304,0.523330518253107,5.97028039169679,2.36846189459494e-09,3.65546349279701e-07,6.43705754904751
"COL14A1",3533.53916907285,-2.21729950425399,0.372969579352028,-5.94498754591775,2.7647787557565e-09,4.23034983930363e-07,6.37362371607728
"NECTIN2",1876.43744953219,1.07271410830709,0.181311433779002,5.91641732652452,3.29029737672054e-09,4.86404214127427e-07,6.31300267106189
"TNFSF11",89.8068790609784,-1.49873498995693,0.253775880165664,-5.90574245660605,3.51062051119313e-09,5.10737733222679e-07,6.29180205535176
"GNS",10213.2672438989,1.02869322547042,0.175202371865097,5.87145718702087,4.31981159770983e-09,6.18325290707676e-07,6.20878298964837
"LOC100358731",3277.32545522697,2.21145589649429,0.377633735042495,5.85608670858135,4.73900862445422e-09,6.72901312603504e-07,6.17204862453449
"LOC100356242",21425.3630009126,3.57815056673364,0.614156889802408,5.82611809155937,5.67314793088438e-09,7.92855926183204e-07,6.10080572333596
"CNTN2",51.2986803631159,-2.63837065448234,0.456253400149064,-5.78268710681466,7.35167272758451e-09,9.96067475128988e-07,6.00171124080962
"LOC103346593",1820.68977691454,1.43210894066431,0.247933590537323,5.77617957115304,7.64158188821004e-09,1.02750331010485e-06,5.98821677036873
"LOC100340786",32.126799677206,-3.85592888960683,0.668450970000164,-5.76845432598576,8.00018883463092e-09,1.05966680317809e-06,5.97483067085696
"MERTK",3153.24637065829,1.43388883386017,0.249781401850605,5.74057485159679,9.43557033024457e-09,1.22242290358767e-06,5.91277852165406
"LOC100338778",938.459557839123,1.33915182542261,0.234001259875069,5.72284023657636,1.04757768613955e-08,1.34735190951383e-06,5.87051895780381
"LOC100348455",407.581358158723,2.27521146569704,0.397689038413052,5.72108166414668,1.05848002437265e-08,1.35157999658922e-06,5.86915824441653
"UPK3A",70.6319322908174,3.46834777307046,0.60930576114838,5.69229440163761,1.25343486340804e-08,1.56670530919924e-06,5.80501268484882
"TBC1D19",127.113031196918,-1.44147778949287,0.253633083456469,-5.68331926517098,1.32105321823875e-08,1.63967647346291e-06,5.78524183466607
"RGS2",8006.420798417,1.75115092046151,0.309140109612025,5.66458659362975,1.47379421496191e-08,1.80402576009371e-06,5.74375726536022
"LOC100338913",2422.97065832056,2.65752278432724,0.470424436493184,5.64920224837373,1.61194120838544e-08,1.94628193929478e-06,5.71079424741256
"LOC103345165",115.301582444618,3.42820598816936,0.60928601068157,5.62659560217777,1.83800939078757e-08,2.20424518088436e-06,5.65674010002763
"CD14",4550.9962996187,1.52531215685505,0.272618470575103,5.59504333524181,2.20566670307925e-08,2.55871753679436e-06,5.59197765431694
"NEURL3",782.973909682223,2.49507487156857,0.4465363081702,5.58761925047663,2.30203675515991e-08,2.65317210177488e-06,5.57623457797585
"SKIDA1",43.1725121733657,-1.56438731614463,0.282171446170368,-5.54410213143993,2.9546634796676e-08,3.29825925161134e-06,5.48171521069298
"LOC103345141",96.340316259966,3.85395762780745,0.696206190381673,5.53565550127418,3.10066493147043e-08,3.41846891424307e-06,5.46616836499141
"GPC6",275.619297720669,-2.63232302498741,0.475567597357916,-5.53511853963906,3.1101793309361e-08,3.41846891424307e-06,5.46616836499141
"SLC8B1",1375.80794080458,1.12213683471868,0.202750916514449,5.53455862991726,3.12013050936604e-08,3.41846891424307e-06,5.46616836499141
"C12H6orf222",972.261255721489,1.58266938070789,0.287318247239747,5.50841930824973,3.62070140189637e-08,3.94256620750053e-06,5.40422100483211
